Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q47,70.99,50.62,5.263,-0.32494,2.120e-2,0.0294,0.013,3900.444,4.533e-4,4.533e-4,4.533e-4,47_48:1.075e-2; 47_46:1.189e-2; 47_53:1.140e-2,47_48:327.111; 47_46:384; 47_53:312.889
Q48,63.28,73.28,5.314,-0.32552,2.600e-2,0.0418,0.0102,3900.444,3.762e-4,3.762e-4,3.762e-4,48_47:1.075e-2; 48_49:1.014e-2,48_47:291.556; 48_49:384
Q49,71.35,91.87,5.151,-0.32809,1.900e-2,0.0268,0.0112,3900.444,3.170e-4,3.170e-4,3.170e-4,49_50:9.566e-3; 49_48:1.014e-2; 49_40:1.568e-2,49_50:398.222; 49_48:348.444; 49_40:376.889
Q50,79.87,39.07,5.058,-0.32914,1.170e-2,0.0166,0.0068,3900.444,2.973e-4,2.973e-4,2.973e-4,50_51:8.123e-3; 50_49:9.566e-3,50_51:305.778; 50_49:362.667
Q51,61.93,85.91,5.246,-0.32636,2.000e-2,0.0276,0.0124,3900.444,2.865e-4,2.865e-4,2.865e-4,51_50:8.123e-3; 51_54:8.467e-3,51_50:270.222; 51_54:241.778
Q52,89.82,121.3,5.031,-0.32986,2.260e-2,0.0364,0.0088,3900.444,4.038e-4,4.038e-4,4.038e-4,52_43:8.031e-3; 52_56:1.034e-2,52_43:298.667; 52_56:398.222
Q53,61.73,98.14,5.053,-0.32879,2.160e-2,0.0296,0.0136,3900.444,6.796e-4,6.796e-4,6.796e-4,53_47:1.140e-2; 53_60:9.559e-3,53_47:348.444; 53_60:362.667
Q54,74.89,93.77,5.145,-0.32783,1.260e-2,0.0186,0.0066,3900.444,2.480e-4,2.480e-4,2.480e-4,54_64:5.866e-3; 54_51:8.467e-3,54_64:305.778; 54_51:277.333
Q55,75.28,67.35,5.201,-0.32642,4.100e-2,0.0646,0.0174,3900.444,9.141e-4,9.141e-4,9.141e-4,55_56:1.389e-2,55_56:384
Q56,59.68,103.85,5.243,-0.32679,2.520e-2,0.036,0.0144,3900.444,8.518e-4,8.518e-4,8.518e-4,56_52:1.034e-2; 56_57:1.578e-2; 56_55:1.389e-2,56_52:362.667; 56_57:369.778; 56_55:419.556
Q57,43.15,55.6,5.014,-0.33033,2.630e-2,0.041,0.0116,3900.444,4.360e-4,4.360e-4,4.360e-4,57_58:1.322e-2; 57_56:1.578e-2,57_58:362.667; 57_56:405.333
Q58,85.39,57.98,5.165,-0.32762,3.450e-2,0.0554,0.0136,3900.444,3.540e-4,3.540e-4,3.540e-4,58_57:1.322e-2; 58_59:8.953e-3,58_57:398.222; 58_59:384
Q59,63.15,46.87,5.003,-0.32922,1.760e-2,0.0262,0.009,3900.444,4.251e-4,4.251e-4,4.251e-4,59_60:9.149e-3; 59_58:8.953e-3,59_60:327.111; 59_58:348.444
Q60,78.86,107.61,5.118,-0.32826,2.080e-2,0.0264,0.0152,3900.444,2.969e-4,2.969e-4,2.969e-4,60_59:9.149e-3; 60_61:9.194e-3; 60_53:9.559e-3,60_59:291.556; 60_61:483.556; 60_53:327.111
Q61,72.05,64.07,5.26,-0.32621,2.130e-2,0.0302,0.0124,3900.444,2.563e-4,2.563e-4,2.563e-4,61_60:9.194e-3; 61_62:1.105e-2,61_60:448; 61_62:362.667
Q62,57.54,67.93,4.998,-0.32925,2.810e-2,0.0378,0.0184,3900.444,3.483e-4,3.483e-4,3.483e-4,62_61:1.105e-2; 62_63:9.009e-3,62_61:398.222; 62_63:298.667
Q63,56.91,75.59,5.086,-0.3291,2.190e-2,0.0314,0.0124,3900.444,3.413e-4,3.413e-4,3.413e-4,63_62:9.009e-3; 63_64:1.473e-2,63_62:263.111; 63_64:512
Q64,65.17,76.89,5.365,-0.32496,1.480e-2,0.0192,0.0104,3900.444,3.472e-4,3.472e-4,3.472e-4,64_54:5.866e-3; 64_63:1.473e-2,64_54:270.222; 64_63:476.444
